iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.07061418890953064,0.05783143639564514,0.051095474511384964,0.0,0.0008878178196027875,0.02243923582136631,0.01974826492369175,0.4989963173866272,9.757729755660885e-05
200000,0.06283292174339294,0.051240239292383194,0.04629503935575485,2.7126719942316413e-05,0.0017569860210642219,0.0192057304084301,0.0172216035425663,0.5204806923866272,9.054634122156042e-05
300000,0.06302677094936371,0.0514989010989666,0.04604937881231308,1.1625728802755475e-05,0.0014947255840525031,0.01979166641831398,0.01756262592971325,0.523301899433136,7.959536998847818e-05
400000,0.05700825899839401,0.04658570885658264,0.041630055755376816,0.0,0.0015036795521155,0.01770833320915699,0.01579551212489605,0.5229763388633728,6.579634122156162e-05
500000,0.060854874551296234,0.04941583797335625,0.045720331370830536,0.0,0.0008957121171988547,0.01911892369389534,0.0175161212682724,0.5274794101715088,5.050000000001915e-05
600000,0.05578847602009773,0.0452670156955719,0.04201873391866684,0.0,0.0016774601535871625,0.01727430522441864,0.01590401865541935,0.5303547978401184,3.520365877845384e-05
700000,0.06302439421415329,0.05140158534049988,0.04638977348804474,0.0,0.0025371976662427187,0.01896701380610466,0.0172526054084301,0.5272895097732544,2.1404630011522884e-05
800000,0.056669775396585464,0.0462145134806633,0.04177064448595047,0.0,0.0012602276401594281,0.01690538227558136,0.015159971080720425,0.533203125,1.0453658778435514e-05
900000,0.057258155196905136,0.046420373022556305,0.04328205808997154,0.0,0.0017268393421545625,0.01759982667863369,0.0163380466401577,0.530870258808136,3.4227024433948816e-06
1000000,0.06091555580496788,0.04977869987487793,0.044495053589344025,0.0,0.001309553743340075,0.0185546875,0.0163845494389534,0.5320366621017456,1e-06
