iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.06786765903234482,0.054607540369033813,0.05300668999552727,0.0,0.0008449554443359375,0.020864633843302727,0.02031250111758709,0.42071533203125,9.757729755660885e-05
200000,0.06731388717889786,0.054229531437158585,0.052311185747385025,0.0,0.0006558895111083984,0.020751953125,0.02003580890595913,0.478271484375,9.054634122156042e-05
300000,0.0653197318315506,0.052616965025663376,0.05079571530222893,0.0,0.0003838539123535156,0.019737830385565758,0.01909179799258709,0.48260498046875,7.959536998847818e-05
400000,0.06163151562213898,0.04948906973004341,0.04852577671408653,0.0,0.0010999441146850586,0.019155649468302727,0.01866861991584301,0.498779296875,6.579634122156162e-05
500000,0.06275968253612518,0.050540365278720856,0.04886801913380623,0.0,0.0002307891845703125,0.018667368218302727,0.01805013045668602,0.5096435546875,5.050000000001915e-05
600000,0.06243064999580383,0.050220243632793427,0.0488145612180233,0.0,0.0006765127182006836,0.01986929215490818,0.01923828199505806,0.51165771484375,3.520365877845384e-05
700000,0.06520870327949524,0.052423782646656036,0.05111764371395111,0.0,0.0005509853363037109,0.020282452926039696,0.01972656324505806,0.50482177734375,2.1404630011522884e-05
800000,0.06359586119651794,0.051249172538518906,0.04935621842741966,0.0,0.0007638931274414062,0.019906852394342422,0.01912434957921505,0.51171875,1.0453658778435514e-05
900000,0.06161194667220116,0.04969436675310135,0.0476379357278347,0.0,0.0008095502853393555,0.018517127260565758,0.01767578162252903,0.50909423828125,3.4227024433948816e-06
1000000,0.05987066030502319,0.048323627561330795,0.04617171362042427,0.0,0.00041043758392333984,0.018103966489434242,0.01743164099752903,0.514404296875,1e-06
