iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.11092018336057663,0.09225302189588547,0.07428149878978729,0.0010946951806545258,0.004206085577607155,0.03643798828125,0.028540825471282005,0.5329427123069763,9.757729755660885e-05
200000,0.11120831221342087,0.09172728657722473,0.07744284719228745,0.0014254663838073611,0.004904111381620169,0.03509521484375,0.02876134030520916,0.5344075560569763,9.054634122156042e-05
300000,0.09551955759525299,0.07851375639438629,0.06750351190567017,0.002024004701524973,0.00287183141335845,0.029541015625,0.025012599304318428,0.5418294668197632,7.959536998847818e-05
400000,0.09296957403421402,0.07734788209199905,0.06199662759900093,0.0013782134046778083,0.00536244735121727,0.03155517578125,0.024886591359972954,0.5418945550918579,6.579634122156162e-05
500000,0.08918384462594986,0.07357557117938995,0.06198745593428612,0.001480594859458506,0.0037381493020802736,0.02874755859375,0.024193547666072845,0.5438476800918579,5.050000000001915e-05
600000,0.09004560858011246,0.07482350617647171,0.06055722385644913,0.0008505545556545258,0.00402704905718565,0.0289306640625,0.023311492055654526,0.53857421875,3.520365877845384e-05
700000,0.100157730281353,0.08314351737499237,0.0675203874707222,0.0015751009341329336,0.005536461248993874,0.03204345703125,0.025453628972172737,0.53955078125,2.1404630011522884e-05
800000,0.09880250692367554,0.08150418102741241,0.06874067336320877,0.001543598948046565,0.0035976411309093237,0.032958984375,0.027091732248663902,0.5443034172058105,1.0453658778435514e-05
900000,0.0880817249417305,0.07301577925682068,0.05980447679758072,0.001165574649348855,0.005655225366353989,0.02880859375,0.022744454443454742,0.5433268547058105,3.4227024433948816e-06
1000000,0.09526196122169495,0.07887759059667587,0.06517722457647324,0.000984438112936914,0.004084587097167969,0.03106689453125,0.02466607838869095,0.5460612177848816,1e-06
