iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.08269739896059036,0.06988253444433212,0.05120232701301575,0.00015943878679536283,0.0006314086494967341,0.0260416679084301,0.01911272294819355,0.5761327743530273,9.757729755660885e-05
200000,0.08579744398593903,0.07332064211368561,0.049857016652822495,8.968431211542338e-05,0.0008060454856604338,0.02876790426671505,0.01937181130051613,0.5769921541213989,9.054634122156042e-05
300000,0.08286168426275253,0.07074801623821259,0.048350293189287186,0.0003886320046149194,0.0006659698556177318,0.029296875,0.019610969349741936,0.5766796469688416,7.959536998847818e-05
400000,0.08137518912553787,0.06949558109045029,0.047452908009290695,0.00018435109814163297,0.0007167052826844156,0.0270182304084301,0.018056441098451614,0.5759179592132568,6.579634122156162e-05
500000,0.08661405742168427,0.0741458386182785,0.04976506158709526,0.0003736846265383065,0.0008272170671261847,0.0301920585334301,0.01979033835232258,0.5697851181030273,5.050000000001915e-05
600000,0.07669980078935623,0.06534136086702347,0.04533671215176582,0.0002840003289747983,0.001005477854050696,0.02608235739171505,0.017797352746129036,0.5746288895606995,3.520365877845384e-05
700000,0.09139112383127213,0.07850705832242966,0.051440589129924774,0.00028898281743749976,0.0009471130324527621,0.03084309957921505,0.019312020391225815,0.5700390338897705,2.1404630011522884e-05
800000,0.08412632346153259,0.07215391099452972,0.04777738079428673,0.00041852681897580624,0.0007136535714380443,0.0276285819709301,0.01787707209587097,0.575976550579071,1.0453658778435514e-05
900000,0.08020325750112534,0.06859438121318817,0.046367328613996506,0.0002142458688467741,0.0006330871256068349,0.0253092460334301,0.01731903664767742,0.5745312571525574,3.4227024433948816e-06
1000000,0.08099144697189331,0.06962882727384567,0.04537126049399376,0.00021922831365372986,0.0008840942173264921,0.0262451171875,0.016780931502580643,0.5743554830551147,1e-06
