iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.11938175559043884,0.10030987858772278,0.07615961134433746,0.00044842157512903214,0.0009559249738231301,0.0408935546875,0.03001434914767742,0.5470507740974426,9.757729755660885e-05
200000,0.12356302887201309,0.10398328304290771,0.07822581380605698,0.0002541055728215724,0.0010587311116978526,0.0410563163459301,0.03081154264509678,0.5515820384025574,9.054634122156042e-05
300000,0.11683901399374008,0.09832026809453964,0.07395763695240021,0.00035375478910282254,0.0011648178333416581,0.0387369804084301,0.028659120202064514,0.5511132478713989,7.959536998847818e-05
400000,0.11405213922262192,0.09709000587463379,0.06769869476556778,0.0005829480360262096,0.0008314132574014366,0.0374755859375,0.025769291445612907,0.5531445145606995,6.579634122156162e-05
500000,0.11258833855390549,0.09612306207418442,0.06564231961965561,0.0008420360391028225,0.0012594222789630294,0.0389811210334301,0.026028379797935486,0.5476952791213989,5.050000000001915e-05
600000,0.10410933196544647,0.08864162862300873,0.06171661242842674,0.0005630181985907257,0.0010403442429378629,0.0335286483168602,0.023218270391225815,0.5484765768051147,3.520365877845384e-05
700000,0.125538170337677,0.10725826025009155,0.07296957075595856,0.0004882813082076609,0.0013107680715620518,0.0417073592543602,0.02843989059329033,0.550585925579071,2.1404630011522884e-05
800000,0.11849815398454666,0.10131466388702393,0.06855360418558121,0.0007025271188467741,0.0009965132921934128,0.0396728515625,0.026187818497419357,0.5527538657188416,1.0453658778435514e-05
900000,0.11007952690124512,0.09400727599859238,0.0640706717967987,0.0008470185566693544,0.001223068218678236,0.0376790389418602,0.02511160634458065,0.5515820384025574,3.4227024433948816e-06
1000000,0.11015911400318146,0.09402434527873993,0.06439832597970963,0.00048828125,0.0010774611728265882,0.0372314453125,0.0246930792927742,0.5513476729393005,1e-06
