iter,loss,msg_loss,code_loss,dist_loss,bal_loss,msg_BER,code_BER,nl_score,lr
100000,0.07235051691532135,0.05943974480032921,0.05163782089948654,0.0,0.00013190507888793945,0.022491455078125,0.0194244384765625,0.485076904296875,9.757729755660885e-05
200000,0.07216241210699081,0.05927974358201027,0.05150516331195831,1.52587890625e-05,0.0005615353584289551,0.02288818359375,0.0196380615234375,0.490264892578125,9.054634122156042e-05
300000,0.06452760100364685,0.05263528972864151,0.04753473773598671,6.103515625e-05,0.00055694580078125,0.01995849609375,0.0180206298828125,0.4875335693359375,7.959536998847818e-05
400000,0.06113709509372711,0.04954783618450165,0.0463443398475647,0.0,0.0003172755241394043,0.0191650390625,0.01763916015625,0.4847412109375,6.579634122156162e-05
500000,0.06673239916563034,0.054294928908348083,0.04972422868013382,6.103515625e-05,0.0003358423709869385,0.0211181640625,0.019134521484375,0.4863433837890625,5.050000000001915e-05
600000,0.06174464151263237,0.050299022346735,0.045756734907627106,9.1552734375e-05,0.0001856386661529541,0.019683837890625,0.017791748046875,0.4849700927734375,3.520365877845384e-05
700000,0.07027833163738251,0.057366397231817245,0.0516277551651001,4.57763671875e-05,0.0002703070640563965,0.021392822265625,0.01947021484375,0.483367919921875,2.1404630011522884e-05
800000,0.06243724748492241,0.05099731683731079,0.04574302211403847,0.0,0.00041744112968444824,0.0198974609375,0.0177001953125,0.4822845458984375,1.0453658778435514e-05
900000,0.06540178507566452,0.053357258439064026,0.048169419169425964,0.0,0.00021660327911376953,0.020355224609375,0.0185394287109375,0.485565185546875,3.4227024433948816e-06
1000000,0.0611129067838192,0.04972124099731445,0.045556262135505676,0.0,0.0002602040767669678,0.019134521484375,0.017364501953125,0.4850921630859375,1e-06
